GP,blood,bone marrow,CNS,colon epi,colon LP,kidney,liver,LN,lung,mammary gland,peritoneal cavity,placenta,skin,small intestine epi,small intestine LP,spleen,submandibular gland,uterus
GP1,-0.0164367550197558,-0.00187904963247909,-0.0721642952482068,0.0233251192793392,-0.0147404556634162,-0.00544016782573942,-0.0177033430433396,-0.0325877905603159,-0.0253109253816443,0.0614164865599125,0.00967102659264824,-0.00283513156333121,0.0353104957949298,0.0710012095421482,0.0110475870645853,-0.0207722402132935,0.0565359126354564,-0.0584376833174984
GP2,0.00444493867647833,0.0215879890713051,0.0209274384874811,0.0193567121521041,-0.0136442509441849,-9.04863457118765e-05,-0.00253764888072742,0.0318452061909298,-0.010380337461762,-0.0209438603921078,-0.00622000116822287,-0.0171993750209584,-0.00523938881555973,-0.00874409571689324,-0.00209289724748315,0.0171708987954676,-0.00756398951973954,-0.020676851860415
GP3,-0.0329710444555881,-0.033303984318693,-0.0334210524708636,0.0400932803809282,-0.0284353485368269,-0.0320178385536209,-0.0216246200402082,-0.033310593026055,-0.0325330882584417,0.0139017449510303,-0.0333562432075164,-0.0325736988969063,0.12093771738763,0.227513756605605,-0.00407666566714724,-0.0321255734748993,-0.0202978400979862,-0.0323989083204403
GP4,-0.00756580920515701,-0.0535956387223156,-0.10975972141445,0.00652028389119794,0.036632079874723,-0.0401881647589134,0.0132573551019937,-0.0247156303041378,0.0330728481511149,-0.0107625124144789,-0.0180686687567612,-0.0281419165297637,-0.0190809143765377,0.00387816706360841,0.0510911422639314,0.0164548192383686,0.0788661968538517,0.0721060840437249
GP6,-0.041131567872944,-0.037884518952603,-0.0419720879020517,-0.0405047056569264,0.0344456287756838,-0.0121680923830262,-0.0172926261428883,-0.035438926061059,0.00724725090975767,-0.0347106440275022,-0.0256456154067572,0.00918734094536006,0.190148496098123,-0.0384066110346636,0.0834555905749789,-0.0365495678490095,0.0300595134510418,0.00716114253448592
GP7,-0.00100477121584744,-0.000666960643819692,-0.00123613179130534,-0.000982081174018763,-0.00114918742295624,-0.00114990876738752,-0.00113270948235554,-0.000871396403107428,-0.00117193284953771,-0.00120510376164874,-0.00118443496555398,-0.00119525860743131,0.0178403295107162,-0.00103848392190592,-0.00110652805851332,-0.000397764826805418,-0.00111153591395026,-0.00123613970457161
GP8,-0.0102028548157613,-0.0102087925128683,-0.0102087850179858,-0.00990922153166125,-0.0101559013599955,-0.0100556394560773,-0.00992919293911886,-0.0101585977255197,-0.0100933248830439,-0.0102087923753942,-0.0102087924633655,-0.0102012565787265,0.172376203567949,-0.0101620664862289,-0.0101406921711712,-0.0101973879195716,-0.0101261130403284,-0.0102087922911307
GP9,-0.0275235057917115,-0.0241008269719064,-0.0225717874812626,0.00109340467350115,-0.0203717049748614,-0.0147767569097468,-0.00703432577977246,0.15200109607444,-0.00388110268273692,-0.000274824554025374,-0.0272778859000464,-0.0239859902504533,-0.0116646905229268,0.00381071870814678,-0.022168792817834,0.0412548733282319,-0.0209106987946021,0.0283828006475658
GP10,-0.00165034768983667,-0.00422895175804304,-0.00377757470899225,-0.00525581904067807,-0.00474588900296398,0.0082493492529309,0.00580170220714141,-0.00487705909795722,0.0030359846362197,-4.66979422433155e-05,-0.00121825378825784,-0.00274098819889062,-0.00300860562938922,-0.00500377598477715,-0.00399252379208452,-0.00278179688461999,1.81908853760472e-05,0.0262230565370658
GP11,-0.0642152361565241,-0.0775892688823552,-0.0429075297185567,-0.0649925424711587,0.0717097625984142,0.179028429299494,0.119558548929169,-0.0801180895318371,0.161908083317267,-0.0701528198908119,-0.0798338608744118,0.201716293272269,-0.0219496439555841,-0.0713751254769268,0.0391522231769858,-0.0767300680449869,-0.0625118664854442,-0.0606972891050014
GP12,-0.0107843734504815,0.000653085067122833,-0.00723004849588138,-0.00282391498741556,-0.000564798733794294,0.00133082344766774,-0.00572932393803247,0.00268881899641072,-0.00677933105092778,-0.0117196200734824,0.00900662466566766,0.00957633312019629,-0.0035087573521672,-0.00402669005966012,0.0128534012551678,0.00328472381363488,0.0074341157924317,0.0063389319835432
GP13,-0.0156898730075595,-0.0146481285870208,-0.0159998616644281,-0.0156774398504221,-0.000920723690606919,-0.0127131128775422,0.000178128074443538,-0.0119107156761213,0.0189048867962946,-0.0127333838236415,-0.00354642017486525,-0.00454370092159522,0.0291328935032218,-0.0157242225472492,0.00966892767312565,-0.0121803847166813,0.0493248202081858,0.0290783112824617
GP15,-0.0141831616540048,0.0101944165232094,-0.0200558940587281,0.0207492123491759,0.00814428275963078,-0.00502485309907601,-0.00301175261355363,0.00950110476188123,-0.0140832158174073,0.000366821308876719,0.0187415363538234,-0.0108506118131092,-0.00108332168325166,-0.00508793187154056,0.00368982453966161,-0.00231802091178863,0.0141221485322892,-0.00981058360608828
GP16,0.00211056493368515,-0.00281178022656691,-0.0084782997782488,-0.0083304704648594,-0.00701694527587663,0.00287460703611267,0.00198746349043353,0.0198433778639758,-0.00246751652561636,-0.00082281303114615,-0.00643900070028289,0.00679061321247603,-0.00585868973521613,-0.00644049271102048,-0.00308078156892792,0.00093257217881026,0.00526078464087047,0.0119468066613977
GP17,0.00232405592906959,0.00441166507839625,0.0273297830278066,-0.0050716549906257,0.00383623636313871,0.000313802985093006,0.0010230715095238,-0.00338498707916055,-0.00159460084878627,-0.00626003610877888,-0.00492025763704917,-0.00823308369664014,-0.00107199759428903,-0.00332560198370868,0.00749648513172255,-0.00323215804858286,-0.0080079434429757,-0.00163277859415364
GP22,-0.0340074595297965,0.0184968923060056,0.0381850273022084,0.0564654170393141,0.028962799693788,-0.0152998036092418,-0.00510731977839044,-0.0390093162760114,-0.0349864229529766,0.103210134047708,0.0148678110601099,-0.0336149955380542,-0.0247155215700693,-0.0232497335351723,-0.0234402733637281,-0.0323480587374505,0.0256710990242152,-0.0200802755824584
GP23,-0.0199983353413217,-0.0184351797305481,-0.0365575790150137,-0.0122036577859389,-0.00912973205530492,-0.00297237297176818,-0.00627728074805875,-0.0103029389897086,-0.0086279353234166,0.00112568251084992,-0.00145940790690146,0.0150469777344532,0.129335453407337,-0.0147797459855785,-0.0128047313700277,-0.00670291157069663,0.0299388999896066,-0.0151952048479632
GP25,-0.0366956953331112,-0.0210043192653331,-0.0437792203699033,-0.0201156157348884,0.0106104894447295,0.00689051588640512,0.00582363601109702,-0.0319560483672121,-0.00917511333937365,-0.0247541891110507,0.0592471240392608,-0.019967875868727,0.0800764119463255,-0.0225349299150278,-0.0187188948386645,-0.0332440272564116,0.0543266459120578,0.0649711061598272
GP26,-0.0489877276288833,-0.0311488887403792,-0.0459126354075754,-0.0249256755836408,-0.0227008496075216,0.0528723875473515,-0.000237535113746162,-0.0407733311924702,-0.0256074046486242,0.0839654318396433,-0.0100926225897611,-0.0267543741755207,0.00518854378342672,-0.0190267550290275,-0.0255977247270345,-0.0440899782893522,0.185291905481844,0.0385372340812721
GP27,-0.0107756205703444,-0.00598281510297313,-0.0111243951217301,-0.0101524366662325,0.0237141052143777,-0.00480346137391187,-0.00853497764772003,-0.00469799241273989,-0.00647990358649546,-0.00886079958509728,-0.00739277418388489,0.00337994209034573,0.0310484767189046,-0.0103904922162233,0.054442925534656,-0.00789179586807346,-0.00888384662971772,-0.00661413859313995
GP29,-0.0658751544726976,-0.044193763714134,-0.0402005002111242,0.328021877246472,0.0231633859786465,-0.0442968813244365,-0.0386925108927094,-0.0638102374030068,-0.0565056563078374,0.0408979432756009,-0.0560693612937378,-0.0686375885737484,-0.0223669978335848,0.165171784031064,0.0216569216945207,-0.0612668860471593,0.0289682204485113,-0.0459645946006389
GP30,-0.0174419117757247,0.0347452517601095,-0.00771749655778906,-0.028529844234667,-0.0250262568116058,0.0298192144153524,0.0607036940245352,-0.0400513678812669,-0.0318459195463125,0.0497351299115686,0.0446013960432886,-0.0470874678669143,-0.0259711855460315,-0.0310883104212065,-0.0169120295306584,-0.0285346403954185,0.0656352948141293,0.0149664495986115
GP32,-0.0152730695361889,-0.00960722887566837,-0.0363325472739354,0.00363039357039266,0.00834280831885686,0.00321085154605832,0.0036149342064398,-0.0068303513068593,-0.00356397355344593,-0.0508221220836654,0.0239992634990564,0.104468104788364,-0.0312348378256315,-0.00157660412882191,0.049896307993646,-0.0156077142866123,-0.0218730486987553,-0.00444116635322897
GP35,-0.0643654731201928,-0.0620593326899034,0.00569408824046505,-0.0100007167617856,0.124132644798963,0.0108146935318556,-0.0107591856322685,-0.0614459384451021,-0.0120993336551507,-0.024310936417085,-0.0658336017598385,0.0145290429853862,0.0756102570344013,-0.0424146920245705,0.0845105113023993,-0.057593158500431,0.0917993754361661,0.00379175567669186
GP36,-0.00242228511672855,-0.00241739792987579,-0.00243272596796161,-0.00236004649870081,-8.24476859168847e-05,-0.00226932671757192,-0.00194175053139138,-0.0023538198851443,0.00134600161868373,-0.0022900773736986,-0.00242201120437382,0.00552027379921721,0.00216361883655789,-0.00236269693786449,0.0193721793538075,-0.00216310962923085,-0.000558043816660931,-0.00232633431314633
GP37,-0.000645148626552852,-0.000642992159444348,-0.00064717548064581,-0.000647167814702505,-0.000642794817682371,-0.000635802195445443,-0.000642859853763731,-0.000642085313835431,-0.000642694922489361,0.0105788092208614,-0.000647178804281468,-0.00064261637736467,-0.000646531520233754,-0.000646893163757082,-0.000611267814138016,-0.000401521675584297,-0.000588532085420337,-0.000605546595519918
